,Unnamed: 0.1,Unnamed: 0,Symbol,Company Name,Sector,Budget Stick Sales,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
255,71,71,CMG,"Chipotle Mexican Grill, Inc.",Consumer Services,705827,266.01,45.86,0.0,0.8,499.0,263.0,7685283970.0,401293000.0,2.5523853,6.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG
363,386,386,FLT,"FleetCor Technologies, Inc.",Commercial Services,704881,,,,,,,,,,,
260,138,138,DGX,Quest Diagnostics Incorporated,Health Services,701910,96.42,17.07,1.9884669,5.5,112.965,90.1,13578300000.0,1453000000.0,1.7709883,2.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DGX
80,189,189,NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Services,697164,56.01,15.35,0.0,2.78,61.48,46.96,13191507318.0,1529401000.0,3.2066104,2.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NCLH
428,141,141,LHX,"L3Harris Technologies, Inc.",Electronic Technology,692457,,,,,,,,,,,
51,352,352,BEN,"Franklin Resources, Inc.",Finance,691822,38.0,12.67,2.332657,3.0,47.65,37.01,21759187973.0,2711300000.0,3.399101,1.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BEN
24,320,320,STE,STERIS plc (Ireland),Health Technology,689502,,,,,,,,,,,
278,351,351,KMI,"Kinder Morgan, Inc.",Industrial Services,683919,16.8,25.07,2.891845,0.01,22.75,16.56,38612712234.0,5981000000.0,2.823936,1.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMI
224,315,315,ETR,Entergy Corporation,Utilities,683671,72.02,10.65,4.892126,-3.26,87.95,69.63,13116894887.0,880700000.0,1.5543115,1.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETR
114,400,400,WRB,W.R. Berkley Corporation,Finance,681844,,,,,,,,,,,
37,165,165,HII,"Huntington Ingalls Industries, Inc.",Electronic Technology,681703,225.37,18.75,1.2264713,12.15,253.44,183.42,10628247899.0,1107000000.0,1.8924941,6.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HII
276,338,338,TRMB,Trimble Inc.,Electronic Technology,681272,,,,,,,,,,,
15,480,480,CBOE,"Cboe Global Markets, Inc.",Finance,677353,111.15,35.06,0.9426963,2.27,138.54,76.75,12998295607.0,488406000.0,8.249042,5.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE
5,370,370,WST,"West Pharmaceutical Services, Inc.",Health Technology,675137,,,,,,,,,,,
447,40,40,HLT,Hilton Worldwide Holdings Inc.,Consumer Services,671113,78.66,36.42,0.7315289,1.05,88.11,55.79,26242415796.0,2815000000.0,3.7628453,17.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HLT
177,300,300,KEYS,Keysight Technologies Inc.,Electronic Technology,661561,,,,,,,,,,,
78,245,245,ZBH,"Zimmer Biomet Holdings, Inc.",Health Technology,658419,115.53,14.32,0.7948336,9.01,133.49,108.17,24454698119.0,2007400000.0,3.1648953,2.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZBH
308,147,147,WLTW,Willis Towers Watson Public Limited Company,Finance,653368,152.36,18.67,1.347058,3.07,165.0,120.869,20780269334.0,1440000000.0,3.4484663,2.1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WLTW
89,367,367,STZ,"Constellation Brands, Inc.",Consumer Non-Durables,648591,208.73,30.92,0.9712818,8.71,229.5,152.01,41697453163.0,3033300000.0,5.145596,5.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STZ
272,45,45,DXC,DXC Technology Company,Technology Services,647706,91.92,79.93,0.7493755,-0.89,102.95,67.76,27408621020.0,1628000000.0,1.9598055,2.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DXC
181,192,192,PVH,PVH Corp.,Consumer Non-Durables,646548,142.68,20.98,0.100529455,6.77,157.96,84.53,11478625926.0,1057500000.0,1.7617522,2.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PVH
463,451,451,SEDG,"SolarEdge Technologies, Inc.",Producer Manufacturing,641737,,,,,,,,,,,
329,468,468,ESS,"Essex Property Trust, Inc.",Finance,639571,218.28,18.66,3.2138102,6.27,270.04,214.03,14383525286.0,1237886000.0,14.1830845,2.3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESS
6,134,134,WRK,Westrock Company,Process Industries,633548,60.93,23.26,2.6699784,2.77,71.55,49.23,16433340688.0,2262300000.0,1.075785,1.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WRK
497,62,62,NOC,Northrop Grumman Corporation,Electronic Technology,631216,324.01,24.4,1.3030859,11.47,349.18,231.98,58782413951.0,3884000000.0,2.209576,7.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOC
288,8,8,IBM,International Business Machines Corporation,Technology Services,631146,147.59,10.67,3.8999026,6.11,182.79,139.13,142000000000.0,16557000000.0,1.817167,7.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM
204,329,329,L,Loews Corporation,Finance,629008,46.05,15.99,4.5131636,1.93,53.59,45.01,16111166935.0,0.0,1.5809761,0.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=L
17,6,6,TGT,Target Corporation,Retail Trade,620416,71.11,14.19,3.3856654,4.71,78.7,48.56,39816696539.0,7105000000.0,0.8047394,3.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGT
316,353,353,EQIX,"Equinix, Inc.",Finance,619945,409.98,23.06,1.8775817,1.77,495.345,361.9,33333813618.0,1687152000.0,10.639136,5.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQIX
325,180,180,KHC,The Kraft Heinz Company,Consumer Non-Durables,617386,71.58,20.11,3.3990483,2.81,97.77,72.05,89618309338.0,7832000000.0,4.6780853,1.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KHC
338,454,454,EOG,"EOG Resources, Inc.",Energy Minerals,613629,101.04,246.44,0.63339007,-1.98,119.0,81.99,61164030149.0,3692749000.0,8.02302,4.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EOG
359,331,331,AFL,AFLAC Incorporated,Finance,611514,83.25,12.24,2.4299066,11.01,91.73,68.8,33422948000.0,0.0,1.5429344,1.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
28,229,229,SPGI,S&P Global Inc.,Commercial Services,609688,173.31,27.38,1.0947506,7.95,185.38,124.64,46585950000.0,3021000000.0,10.254704,50.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPGI
191,178,178,LUMN,"Lumen Technologies, Inc.",Communications,608781,,,,,,,,,,,
68,25,25,MCD,McDonald’s Corporation,Consumer Services,608480,158.97,23.83,2.437994,6.36,178.7,124.36,132000000000.0,10515400000.0,5.770237,146.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCD
74,186,186,GIS,"General Mills, Inc.",Consumer Non-Durables,607544,53.99,17.53,3.5864594,2.77,63.73,49.65,31098243069.0,3107600000.0,2.0389178,7.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GIS
430,30,30,RTX,Raytheon Technologies Corporation,Electronic Technology,607293,,,,,,,,,,,
52,174,174,VFC,V.F. Corporation,Consumer Non-Durables,603268,78.75,25.9,2.2865665,2.55,82.95,48.05,31797645904.0,1624441000.0,3.7110944,7.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VFC
258,196,196,AVY,Avery Dennison Corporation,Process Industries,603218,110.77,22.11,1.5682175,3.11,123.67,78.471,10104814319.0,831200000.0,1.5206499,8.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY
64,65,65,ROST,"Ross Stores, Inc.",Retail Trade,602224,75.06,26.52,0.82061803,2.83,85.66,52.85,29803566306.0,2247009000.0,2.9734495,10.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROST
31,274,274,TAP,Molson Coors Beverage Company,Consumer Non-Durables,602152,74.51,17.66,2.1533613,9.27,102.14,75.79,12396862128.0,4708400000.0,1.2371694,1.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TAP
456,494,494,PEAK,"Healthpeak Properties, Inc.",Finance,597452,,,,,,,,,,,
346,354,354,CDW,CDW Corporation,Technology Services,596267,,,,,,,,,,,
342,360,360,PNR,Pentair plc.,Producer Manufacturing,590666,66.67,18.89,2.03933,3.63,74.84,57.63,12466660892.0,863700000.0,2.5191512,2.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNR
227,371,371,AEE,Ameren Corporation,Utilities,590538,52.59,20.38,3.4404964,2.68,64.89,51.81,12905744906.0,2298000000.0,2.693119,1.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
438,126,126,COF,Capital One Financial Corporation,Finance,589874,91.8,11.85,1.6306564,3.45,106.5,76.05,47637260000.0,0.0,1.5931405,0.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF
50,423,423,TER,"Teradyne, Inc.",Electronic Technology,588830,,,,,,,,,,,
296,17,17,FDX,FedEx Corporation,Transportation,587164,239.27,19.45,0.7963368,11.07,274.66,182.89,67280478816.0,8062000000.0,1.0751684,3.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FDX
201,341,341,KLAC,KLA Corporation,Electronic Technology,584362,98.54,16.59,2.2988505,5.88,121.65,86.33,16078622033.0,1506642000.0,4.3395863,12.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KLAC
434,306,306,PKI,"PerkinElmer, Inc.",Health Technology,581667,72.06,24.68,0.3695394,2.64,84.49,52.63,8351767268.0,445658000.0,3.7116463,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PKI
301,87,87,BDX,"Becton, Dickinson and Company",Health Technology,576812,211.44,22.28,1.3518385,4.65,248.3888,175.66,50910180308.0,1537000000.0,5.6912947,3.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX
182,440,440,SIVB,SVB Financial Group,Finance,576728,,,,,,,,,,,
298,69,69,TEL,TE Connectivity Ltd. New Switzerland Registered Shares,Electronic Technology,576057,95.27,19.72,1.6062645,4.71,108.23,71.93,34983666316.0,2797000000.0,2.5734365,3.6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TEL
58,295,295,EW,Edwards Lifesciences Corporation,Health Technology,574213,123.78,32.57,0.0,2.88,138.48,89.2,27447099863.0,1156700000.0,7.8283277,8.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EW
251,173,173,STX,Seagate Technology Holdings PLC,Electronic Technology,573905,47.44,11.51,5.085772,2.58,56.45,30.6,14113197720.0,1811000000.0,1.3048558,13.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STX
93,50,50,LMT,Lockheed Martin Corporation,Electronic Technology,572352,334.3,24.28,2.315954,6.83,361.79,256.4,98102120000.0,7115000000.0,1.8781451,45.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LMT
354,211,211,WYNN,"Wynn Resorts, Limited",Consumer Services,571407,169.28,31.7,1.1279043,7.27,203.63,92.67,18225400525.0,1501301000.0,2.478658,51.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WYNN
310,410,410,JKHY,"Jack Henry & Associates, Inc.",Technology Services,571103,,,,,,,,,,,
62,418,418,IPGP,IPG Photonics Corporation,Electronic Technology,568511,,,,,,,,,,,
269,402,402,NI,NiSource Inc,Utilities,567990,22.51,19.57,3.3780859,1.02,27.76,21.93,7776566371.0,1448600000.0,2.2361343,1.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NI
477,220,220,FCX,"Freeport-McMoRan, Inc.",Non-Energy Minerals,567824,17.16,14.67,1.1198208,1.24,20.25,11.05,25853969330.0,5347000000.0,1.6538345,3.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FCX
474,113,113,HPE,Hewlett Packard Enterprise Company,Electronic Technology,567411,15.04,11.57,1.9280206,0.21,24.88,12.815,24800859640.0,3683000000.0,1.4609766,1.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPE
486,333,333,OXY,Occidental Petroleum Corporation,Energy Minerals,567373,68.47,195.63,4.4081864,-0.75,78.09,57.2,53467692395.0,5205000000.0,6.044895,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OXY
66,467,467,PXD,Pioneer Natural Resources Company,Energy Minerals,567300,169.16,118.29,0.1816118,-3.39,199.83,125.46,29983119693.0,1717000000.0,6.7890477,2.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PXD
247,435,435,ANSS,"ANSYS, Inc.",Technology Services,565861,148.84,42.53,0.0,2.99,164.9,94.52,13155919129.0,458515000.0,16.8134,5.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS
244,428,428,CINF,Cincinnati Financial Corporation,Finance,565517,70.34,27.48,2.918904,3.55,81.98,68.24,11916533018.0,0.0,2.756679,1.6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF
300,119,119,LUV,Southwest Airlines Company,Transportation,563734,55.63,15.89,0.863707,5.82,66.985,49.76,34351211637.0,4533000000.0,1.6294897,3.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUV
213,302,302,AIZ,"Assurant, Inc.",Finance,562480,85.16,33.27,2.5313594,9.08,106.985,85.91,4653993594.0,0.0,0.9821866,1.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ
27,250,250,RF,Regions Financial Corporation,Finance,562133,17.9,17.9,1.8987342,1.0,19.9,13.0,21500640000.0,0.0,3.474771,1.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RF
289,327,327,AMP,"Ameriprise Financial, Inc.",Finance,557637,152.5,12.41,2.0735743,9.44,183.9,118.84,23472126000.0,0.0,1.9493247,3.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
347,127,127,PNC,"PNC Financial Services Group, Inc. (The)",Finance,555378,149.38,17.55,1.9354838,10.4,160.07,115.25,73315000000.0,0.0,4.04653,1.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNC
48,267,267,EXPD,"Expeditors International of Washington, Inc.",Transportation,555314,60.36,25.26,1.3520038,2.36,67.54,51.96,11040678071.0,721643000.0,2.190319,5.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPD
290,357,357,OGN,Organon & Co.,Health Technology,553236,,,,,,,,,,,
261,314,314,INTU,Intuit Inc.,Technology Services,552337,152.75,40.52,0.96720195,3.72,170.59,111.9,41233771565.0,1654000000.0,9.633731,33.5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTU
388,76,76,KO,Coca-Cola Company (The),Consumer Non-Durables,545702,43.1,22.8,3.3213644,1.49,48.615,40.22,190000000000.0,8589000000.0,6.822138,8.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO
18,54,54,AAL,"American Airlines Group, Inc.",Transportation,545194,48.6,9.92,0.7782101,3.91,59.08,39.21,24594852352.0,5761000000.0,0.58022565,6.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL
107,85,85,MCK,McKesson Corporation,Distribution Services,544133,150.23,11.68,0.8898776,22.74,178.86,133.82,31534840262.0,7232000000.0,0.15318617,2.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCK
239,191,191,DD,"DuPont de Nemours, Inc.",Process Industries,541211,,,,,,,,,,,
450,219,219,ADI,"Analog Devices, Inc.",Electronic Technology,539062,82.68,17.67,2.108963,2.11,98.38,74.65,31811578855.0,1663384000.0,8.00391,3.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
418,194,194,AJG,Arthur J. Gallagher & Co.,Finance,537615,64.4,21.05,2.4807138,2.54,70.55,53.63,11968488290.0,888000000.0,1.9400215,2.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG
43,200,200,NWL,Newell Brands Inc.,Producer Manufacturing,534729,27.91,9.72,3.1228786,1.17,55.08,23.85,14438346000.0,2021400000.0,1.2810479,1.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWL
235,244,244,HRL,Hormel Foods Corporation,Consumer Non-Durables,533380,32.21,20.39,2.2907758,1.57,38.0,29.75,17338613096.0,1422305000.0,2.5174792,3.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRL
101,296,296,CHRW,"C.H. Robinson Worldwide, Inc.",Transportation,531978,90.47,26.0,1.987685,3.57,100.18,63.41,12932483889.0,868096000.0,0.85282737,9.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW
455,241,241,RL,Ralph Lauren Corporation,Retail Trade,529843,101.32,17.74,1.8570102,-1.19,119.33,66.06,8753430477.0,506100000.0,1.3948758,2.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RL
139,46,46,VZ,Verizon Communications Inc.,Communications,528820,49.04,13.08,4.626544,7.36,54.77,42.8,208000000000.0,45745000000.0,1.6452544,7.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VZ
14,308,308,AOS,A.O. Smith Corporation,Producer Manufacturing,528146,60.24,27.76,1.1479592,1.7,68.39,48.925,10783419933.0,601000000.0,3.5754826,6.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS
108,350,350,DTE,DTE Energy Company,Utilities,528030,98.49,19.12,3.5559585,4.82,116.74,96.56,17808073691.0,2790000000.0,1.9091922,1.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DTE
150,177,177,LDOS,"Leidos Holdings, Inc.",Technology Services,527797,,,,,,,,,,,
488,238,238,APD,"Air Products and Chemicals, Inc.",Process Industries,524895,152.8,24.22,2.7811136,13.66,175.17,133.6301,34638387128.0,2542500000.0,4.1163683,3.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
79,210,210,FBHS,"Fortune Brands Home & Security, Inc.",Producer Manufacturing,519407,62.44,20.27,1.2618296,3.04,73.62,55.25,9624169008.0,814500000.0,1.8434572,3.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FBHS
420,493,493,FRT,Federal Realty Investment Trust,Finance,516600,108.11,18.35,3.5925992,3.5,143.79,109.74,8077368506.0,540767000.0,12.898601,3.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FRT
385,22,22,T,AT&T Inc.,Communications,515230,35.57,12.14,5.4156513,4.76,42.7,32.55,227000000000.0,49653000000.0,1.4083152,1.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T
495,259,259,ROP,"Roper Technologies, Inc.",Technology Services,515066,259.4,27.57,0.61985797,9.38,290.415,191.22,27247789759.0,1555209000.0,5.9715905,4.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROP
183,204,204,BMY,Bristol-Myers Squibb Company,Health Technology,513693,62.69,20.83,2.5546863,2.65,66.1,51.12,103000000000.0,5170000000.0,6.503231,6.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY
285,159,159,MU,"Micron Technology, Inc.",Electronic Technology,508990,40.0,9.01,0.0,4.36,49.89,22.64,48576791974.0,12541000000.0,2.1912806,2.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MU
331,422,422,AMT,American Tower Corporation (REIT),Finance,508460,133.57,20.68,2.0,1.97,155.28,103.36,59213892640.0,3792383000.0,11.954137,9.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
75,193,193,TXT,Textron Inc.,Electronic Technology,507312,55.54,22.13,0.1381454,1.14,62.19,45.0,15254672353.0,1454000000.0,1.0645695,2.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXT
387,179,179,BSX,Boston Scientific Corporation,Health Technology,506644,25.2,20.0,0.0,0.07,29.93,23.29,36142506007.0,1726000000.0,4.055685,4.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX
380,218,218,PCAR,PACCAR Inc.,Producer Manufacturing,506506,66.98,15.72,1.455816,4.75,79.69,61.93,24152102921.0,3619200000.0,1.28693,3.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCAR
307,146,146,MET,"MetLife, Inc.",Finance,505899,44.28,8.52,3.4587116,0.63,56.58,44.58,48679364276.0,0.0,1.0496864,0.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MET
9,20,20,WFC,Wells Fargo & Company,Finance,505532,55.4,13.58,2.7111576,4.07,66.31,49.27,281000000000.0,0.0,2.8728192,1.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WFC
91,81,81,PFE,"Pfizer, Inc.",Health Technology,505504,33.63,12.69,3.8879359,3.51,39.43,31.67,209000000000.0,20569000000.0,4.0020885,3.4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFE
159,288,288,INFO,IHS Markit Ltd.,Technology Services,501633,43.73,26.19,0.0,1.0,49.19,37.82,17969275816.0,1018900000.0,5.0604,2.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INFO
194,91,91,DAL,"Delta Air Lines, Inc.",Transportation,501347,51.23,10.37,2.2655525,4.94,60.79,43.81,38393603535.0,8348000000.0,0.91792434,2.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAL
408,154,154,ECL,Ecolab Inc.,Process Industries,500980,127.76,28.08,1.2319711,4.14,140.5,119.61,38460272282.0,2848600000.0,3.7360687,5.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ECL
47,67,67,ETN,"Eaton Corporation, PLC",Producer Manufacturing,498064,79.41,17.08,2.9404557,6.68,89.85,69.45,35961772000.0,4253000000.0,1.8161736,2.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETN
187,225,225,NWSA,News Corporation,Consumer Services,493975,15.65,43.47,1.24533,-1.28,17.29,12.0,9356906461.0,679000000.0,1.5518167,0.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWSA
25,221,221,ROK,"Rockwell Automation, Inc.",Producer Manufacturing,488103,178.73,26.48,1.7692552,6.35,210.72,147.67,24123216432.0,1323200000.0,3.760594,10.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROK
468,411,411,PTC,PTC Inc.,Technology Services,487671,,,,,,,,,,,
424,239,239,FAST,Fastenal Company,Distribution Services,487352,52.15,27.02,2.7798648,2.01,57.815,39.79,15311373377.0,1009600000.0,3.472977,7.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FAST
170,111,111,FIS,"Fidelity National Information Services, Inc.",Technology Services,487008,92.74,22.08,1.322724,1.72,103.65,77.63,32308459680.0,2782000000.0,4.7038417,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FIS
294,345,345,SWKS,"Skyworks Solutions, Inc.",Electronic Technology,486696,99.04,16.45,1.2629502,5.41,117.65,90.53,18493080922.0,1122900000.0,6.9704437,4.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWKS
233,101,101,DHR,Danaher Corporation,Health Technology,486209,92.16,22.87,0.5879265,3.53,104.82,78.97,66351150000.0,4339800000.0,3.688278,2.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHR
207,234,234,CZR,"Caesars Entertainment, Inc.",Consumer Services,485571,,,,,,,,,,,
203,52,52,ABT,Abbott Laboratories,Health Technology,482153,56.27,22.51,1.9089824,0.26,64.6,42.28,102000000000.0,5744000000.0,3.7404804,3.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
407,215,215,PYPL,"PayPal Holdings, Inc.",Technology Services,476678,72.32,49.53,0.0,1.47,86.32,39.92,90708000000.0,2932000000.0,6.935696,5.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PYPL
279,5,5,KR,Kroger Company (The),Retail Trade,476244,27.57,13.07,1.7301039,2.05,34.75,19.69,25471355847.0,5342000000.0,0.27961263,4.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KR
171,79,79,CSCO,"Cisco Systems, Inc.",Technology Services,475367,38.77,17.87,2.8755577,1.91,42.98,30.36,199000000000.0,15447000000.0,5.484418,3.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO
104,212,212,AMAT,"Applied Materials, Inc.",Producer Manufacturing,474396,45.75,14.08,0.8215239,3.17,60.89,34.58,51296481503.0,4336000000.0,4.7020154,5.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT
132,347,347,FDS,FactSet Research Systems Inc.,Technology Services,473469,,,,,,,,,,,
425,348,348,BRO,"Brown & Brown, Inc.",Finance,473270,,,,,,,,,,,
446,381,381,ZBRA,Zebra Technologies Corporation,Electronic Technology,472654,,,,,,,,,,,
95,469,469,INCY,Incyte Corporation,Health Technology,471983,83.92,-119.89,0.0,0.54,153.15,84.21,18220961259.0,-81686000.0,17.02699,10.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INCY
291,485,485,MKTX,"MarketAxess Holdings, Inc.",Finance,470894,,,,,,,,,,,
422,343,343,EA,Electronic Arts Inc.,Consumer Durables,470781,116.54,34.48,0.0,3.07,131.01,81.27,37890226992.0,1560000000.0,7.4415817,8.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EA
131,293,293,XRAY,DENTSPLY SIRONA Inc.,Health Technology,468727,56.85,22.65,0.60034305,1.99,68.98,52.535,13390513478.0,-411100000.0,4.626262,1.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XRAY
484,169,169,EPAM,"EPAM Systems, Inc.",Technology Services,467023,,,,,,,,,,,
38,292,292,PKG,Packaging Corporation of America,Process Industries,461379,111.95,18.57,2.1514556,7.07,131.1316,88.47,11051273948.0,1214900000.0,1.741522,5.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PKG
125,307,307,TFX,Teleflex Incorporated,Health Technology,459385,,,,,,,,,,,
175,23,23,BAC,Bank of America Corporation,Finance,455630,29.74,16.34,1.536,1.55,32.67,22.07,321000000000.0,0.0,3.2011874,1.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC
349,232,232,BLL,Ball Corporation,Process Industries,453705,38.44,20.56,1.0170354,0.85,43.24,35.6,13767688518.0,1317000000.0,1.5696399,3.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL
256,57,57,PG,Procter & Gamble Company (The),Consumer Non-Durables,452173,80.22,20.46,3.3704789,5.6,94.67,80.1,206000000000.0,17249000000.0,3.1595004,3.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PG
